"","","","","1. ПРЕДМЕТ ДОГОВОРА","","","","","",""
"По настоящему договору Заказчик оплачивает и принимает, а Исполнитель поставляет товар(услуг) на следующих условиях:","","","","","","","","","",""
"","","Идентификационный код и","","","","","","","",""
"","","","","","","","","НДС","","Стоимость"
"","Наименование","название по Единому","Штрих-код","Единицы","Кол-","","Стоимость","","",""
"№","","","","","","Цена","","","","поставки с"
"","товаров (услуг)","электронному национальному","товара/услуги","измерения","во","","поставки","","",""
"","","","","","","","","ставка","сумма","учётом НДС"
"","","каталогу товаров (услуг)","","","","","","","",""
"","","10715001001000000 - Услуги по","","","","","","","",""
"","Проведение","","","","","","","","",""
"","","организации конференций,","","","","","","","",""
"","мероприятия для","","","услуга","","","","","Без",""
"1","","выставок, тренингов,","","","1.00","7 280 000.00","7 280 000.00","","","7 280 000.00"
"","презентации","","","(сум)","","","","","НДС",""
"","","мероприятий (кроме свадебных","","","","","","","",""
"","нового проекта","","","","","","","","",""
"","","мероприятий)","","","","","","","",""
"","Итого","","","","","","7 280 000.00","","","7 280 000.00"
